forest,latitude,longitude
1,57.571,36.5
1,62.464,110.8
1,43.143,21.55
1,42.893,76.05
1,57.321,123.75
1,52.929,116.05
1,38.75,140.5
1,52.929,92.3
1,57.821,80.0
1,57.571,59.75
1,61.714,129.55
1,67.357,62.5
1,53.429,131.8
1,51.929,122.3
1,41.643,28.05
1,57.321,67.5
1,52.179,111.3
1,52.679,138.05
1,53.429,94.8
1,61.714,26.3
1,62.464,27.05
1,57.821,65.25
1,67.107,54.25
1,52.179,127.8
1,44.393,142.05
1,61.714,46.3
1,67.607,51.5
1,52.929,139.55
1,62.464,51.05
1,38.0,15.75
1,51.679,119.05
1,66.857,122.75
1,56.571,59.0
1,67.107,87.0
1,67.357,172.25
1,52.679,105.3
1,53.429,131.55
1,51.429,84.55
1,53.179,16.8
1,67.357,83.25
1,67.107,167.75
1,57.821,92.25
1,62.464,122.05
1,36.5,127.0
1,36.0,139.0
1,62.464,116.8
1,36.75,128.25
1,44.893,34.3
1,67.357,98.75
1,61.714,25.55
1,67.107,146.0
1,66.857,78.25
1,53.179,158.8
1,66.857,86.0
1,56.821,88.0
1,43.643,131.8
1,57.571,78.75
1,47.036,103.0
1,51.429,127.05
1,67.357,130.5
1,43.143,26.05
1,41.643,25.8
1,67.607,84.25
1,51.679,116.05
1,66.857,63.5
1,41.643,23.8
1,62.214,42.8
1,51.429,119.8
1,67.107,98.0
1,57.571,99.0
1,62.214,167.8
1,52.679,138.3
1,43.393,18.3
1,41.893,33.55
1,38.0,41.75
1,57.321,91.25
1,45.143,130.8
1,62.214,27.05
1,62.464,131.05
1,52.929,118.05
1,52.429,136.8
1,62.464,15.55
1,57.071,80.75
1,67.607,69.25
1,66.857,35.75
1,57.821,55.0
1,53.429,139.55
1,47.036,135.75
1,53.429,130.8
1,51.429,83.05
1,57.571,60.25
1,57.571,25.5
1,53.179,132.3
1,43.643,42.3
1,61.964,96.55
1,67.607,86.5
1,41.143,124.05
1,61.964,149.55
1,56.821,82.25
1,37.5,137.25
1,42.643,130.3
1,37.5,31.0
1,62.214,173.8
1,61.714,24.05
1,52.929,113.05
1,56.821,65.5
1,62.214,95.8
1,66.857,38.25
1,56.571,48.0
1,44.143,40.8
1,67.107,69.25
1,67.107,34.5
1,62.214,94.8
1,57.071,80.25
1,67.107,80.25
1,62.464,122.8
1,67.107,148.25
1,62.464,148.8
1,56.821,101.75
1,61.714,113.3
1,57.321,103.5
1,53.179,122.3
1,67.107,43.0
1,46.536,135.25
1,47.536,26.75
1,57.321,93.5
1,57.821,96.75
1,57.571,86.25
1,51.679,80.05
1,66.857,172.0
1,61.714,114.3
1,62.464,83.3
1,61.964,118.8
1,52.429,133.55
1,67.107,111.25
1,53.429,131.3
1,56.821,15.75
1,66.857,175.0
1,67.357,53.25
1,66.857,72.0
1,38.25,26.75
1,52.679,91.8
1,51.929,120.3
1,57.571,112.5
1,36.5,51.5
1,62.464,122.55
1,52.179,81.3
1,67.107,60.5
1,66.857,120.75
1,56.571,79.25
1,66.857,28.0
1,61.964,129.8
1,56.571,109.75
1,52.679,102.8
1,62.214,131.05
1,38.75,70.5
1,52.929,28.55
1,57.571,79.0
1,56.821,97.5
1,56.821,55.75
1,42.393,20.3
1,38.75,48.75
1,57.821,104.75
1,57.071,87.5
1,47.036,28.5
1,53.179,122.8
1,53.179,139.05
1,67.357,54.5
1,66.857,55.25
1,42.143,118.3
1,51.429,135.3
1,57.321,94.75
1,57.321,63.25
1,57.321,129.5
1,57.821,94.25
1,62.214,172.05
1,57.821,97.5
1,62.464,168.3
1,57.321,61.5
1,57.321,25.0
1,66.857,127.0
1,67.357,131.5
1,61.714,129.8
1,43.143,42.05
1,57.321,89.75
1,41.643,128.55
1,67.357,148.5
1,47.286,82.5
1,53.179,99.55
1,67.107,34.0
1,37.25,114.5
1,51.429,130.8
1,41.893,118.05
1,67.357,145.0
1,51.429,112.8
1,41.643,33.3
1,42.393,118.3
1,52.179,135.55
1,61.964,32.55
1,61.714,124.3
1,67.107,83.25
1,53.179,104.8
1,41.393,33.55
1,46.786,128.25
1,66.857,138.0
1,62.464,132.05
1,41.643,123.55
1,62.214,113.3
1,61.964,38.55
1,42.643,87.55
1,43.893,135.3
1,57.821,84.0
1,57.321,137.0
1,51.429,108.55
1,57.071,105.0
1,66.857,131.25
1,51.429,131.3
1,52.429,131.55
1,62.464,35.55
1,51.929,135.05
1,61.964,169.8
1,57.571,138.0
1,42.893,143.55
1,51.679,85.55
1,57.571,90.75
1,36.5,53.25
1,45.143,22.55
1,41.393,128.3
1,56.821,70.75
1,43.643,43.3
1,42.393,22.05
1,43.893,21.3
1,57.321,85.25
1,37.5,28.75
1,46.286,17.75
1,62.464,66.05
1,51.429,26.8
1,62.464,140.05
1,67.107,57.0
1,66.857,126.75
1,66.857,135.0
1,51.679,138.55
1,67.607,35.0
1,53.179,21.8
1,57.821,90.25
1,42.143,24.05
1,52.429,100.3
1,44.643,39.05
1,67.107,124.5
1,67.107,165.0
1,57.571,28.25
1,42.893,23.3
1,57.821,74.0
1,67.357,154.0
1,62.214,87.8
1,43.643,18.3
1,53.179,101.55
1,61.714,148.8
1,41.393,128.05
1,42.893,133.05
1,51.679,120.3
1,67.107,139.5
1,51.929,92.8
1,53.429,48.05
1,41.643,124.55
1,62.214,150.05
1,44.393,128.3
1,67.357,110.0
1,62.464,32.8
1,41.393,24.3
1,53.429,93.8
1,52.179,103.3
1,57.321,136.5
1,67.107,24.0
1,66.857,124.5
1,51.429,87.55
1,56.821,67.25
1,38.0,128.75
1,66.857,142.25
1,62.214,107.55
1,47.786,131.0
1,43.893,141.8
1,52.429,124.3
1,61.964,101.55
1,44.393,134.8
1,57.821,76.25
1,67.357,86.0
1,67.357,78.5
1,47.286,129.25
1,67.357,120.75
1,66.857,113.75
1,41.143,112.05
1,57.321,128.0
1,57.571,33.0
1,52.929,104.55
1,61.714,111.8
1,53.179,101.05
1,67.107,81.5
1,61.714,128.3
1,61.964,141.05
1,46.786,118.5
1,53.679,34.8
1,47.536,106.5
1,61.714,146.05
1,57.821,111.75
1,66.857,17.5
1,66.857,93.5
1,61.964,48.05
1,52.179,108.8
1,44.143,19.55
1,53.179,159.3
1,66.857,163.0
1,67.607,40.75
1,52.679,102.3
1,57.821,39.25
1,61.964,97.3
1,56.821,32.75
1,67.107,118.75
1,56.571,122.25
1,66.857,69.75
1,61.964,136.55
1,43.393,87.3
1,67.357,124.0
1,43.143,129.3
1,46.786,129.25
1,57.571,38.5
1,67.607,28.0
1,41.893,116.8
1,53.679,33.05
1,67.357,34.0
1,56.571,97.75
1,62.214,90.55
1,46.286,25.75
1,52.179,91.8
1,37.75,114.0
1,67.607,17.0
1,67.357,37.5
1,66.857,61.75
1,47.786,120.5
1,44.643,121.55
1,53.429,129.05
1,57.821,105.75
1,67.607,52.75
1,67.107,179.0
1,56.821,23.5
1,62.214,125.05
1,66.857,55.75
1,36.5,114.0
1,61.964,160.55
1,57.571,98.5
1,41.143,29.8
1,44.393,130.55
1,46.536,22.0
1,51.929,84.8
1,62.464,158.3
1,67.357,104.5
1,41.143,128.05
1,43.393,132.05
1,67.357,159.75
1,67.107,131.5
1,57.571,162.75
1,61.964,139.05
1,62.214,36.8
1,61.714,61.3
1,57.321,98.5
1,67.357,126.0
1,67.107,123.0
1,56.821,67.0
1,37.0,28.5
1,41.893,24.8
1,37.25,139.25
1,53.429,101.8
1,57.821,33.25
1,52.929,101.05
1,41.143,32.55
1,57.821,111.5
1,52.179,136.3
1,57.321,26.5
1,62.464,22.55
1,51.679,119.8
1,57.571,114.25
1,42.393,73.8
1,62.214,172.3
1,42.393,118.05
1,37.5,105.75
1,57.571,77.25
1,44.143,130.8
1,41.393,22.3
1,62.464,114.8
1,66.857,143.75
1,62.464,36.3
1,52.179,56.8
1,52.429,108.55
1,62.214,111.3
1,67.107,166.25
1,62.464,54.05
1,67.107,146.75
1,66.857,51.0
1,62.464,153.8
1,37.0,102.5
1,62.214,36.05
1,37.5,100.5
1,67.107,52.0
1,67.107,156.25
1,53.179,98.05
1,66.857,101.5
1,66.857,136.0
1,62.214,159.3
1,67.357,104.25
1,57.821,104.0
1,66.857,143.5
1,61.964,108.05
1,52.679,134.8
1,66.857,99.5
1,67.107,114.25
1,52.429,84.05
1,61.714,115.55
1,67.357,126.75
1,56.571,73.0
1,66.857,151.25
1,67.357,155.25
1,43.393,40.8
1,51.429,52.05
1,52.179,90.8
1,42.893,41.3
1,51.679,110.55
1,62.214,50.3
1,47.786,132.25
1,36.5,139.5
1,61.964,44.05
1,61.714,170.05
1,67.357,50.75
1,67.357,55.5
1,52.179,87.8
1,36.5,52.5
1,56.821,15.5
1,41.893,24.3
1,67.107,100.75
1,57.321,125.75
1,67.107,121.5
1,57.321,101.5
1,62.214,138.3
1,57.321,42.0
1,37.0,22.75
1,61.964,114.05
1,61.714,84.8
1,67.357,99.0
1,62.214,102.8
1,42.143,76.3
1,57.821,91.0
1,52.179,90.05
1,44.143,142.3
1,53.179,31.05
1,51.429,126.05
1,51.679,110.8
1,57.571,130.5
1,53.179,129.3
1,41.143,119.55
1,62.214,56.8
1,61.964,162.8
1,41.893,125.55
1,61.964,133.8
1,61.714,82.05
1,53.179,96.8
1,52.679,120.8
1,57.321,108.75
